,market,alias,name,id,code_ncaa,kaggle_team_id,school_ncaa,turner_name,league_name,league_alias,league_id,conf_name,conf_alias,conf_id,division_name,division_alias,division_id,venue_id,venue_city,venue_state,venue_address,venue_zip,venue_country,venue_name,venue_capacity,logo_large,logo_medium,logo_small
0,Princeton,PRIN,Tigers,fe406882-9f22-495e-9df6-ef357a6803c6,554,1343,Princeton,Princeton University,NCAA MEN,NCAAM,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,NCAA Division I,D1,c5a8d640-5093-4044-851d-2c562e929994,68db797a-0074-4717-a569-08e5fd091f0f,Princeton,NJ,Princeton University,8542,USA,Jadwin Gymnasium,6854,https://www.ncaa.com/sites/default/files/images/logos/schools/p/princeton.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/p/princeton.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/p/princeton.24.png
1,Yale,YALE,Bulldogs,ca478771-aa3d-4231-81e0-b70f519134fb,813,1463,Yale,Yale University,NCAA MEN,NCAAM,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,NCAA Division I,D1,c5a8d640-5093-4044-851d-2c562e929994,1a6fd393-b2fb-4210-8082-83e5bbc9d681,New Haven,CT,70 Tower Pkwy,6511,USA,John J. Lee Amphitheater,2532,https://www.ncaa.com/sites/default/files/images/logos/schools/y/yale.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/y/yale.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/y/yale.24.png
2,Harvard,HARV,Crimson,5c7bf63f-bc39-43c5-9907-73b50b7a6b34,275,1217,Harvard,Harvard University,NCAA MEN,NCAAM,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,NCAA Division I,D1,c5a8d640-5093-4044-851d-2c562e929994,94de06b6-4ae7-4fd1-bbd0-67b03a720215,Allston,MA,Soldiers Field Road,2163,USA,Lavietes Pavilion,2195,https://www.ncaa.com/sites/default/files/images/logos/schools/h/harvard.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/h/harvard.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/h/harvard.24.png
3,Dartmouth,DART,Big Green,d60357bd-1205-42e9-9092-d986a2843a34,172,1171,Dartmouth,Dartmouth College,NCAA MEN,NCAAM,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,NCAA Division I,D1,c5a8d640-5093-4044-851d-2c562e929994,b756945a-1b32-4148-a6ed-f2aea43afec9,Hanover,NH,6 South Park Street,03755,USA,Edward Leede Arena,2100,https://www.ncaa.com/sites/default/files/images/logos/schools/d/dartmouth.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/d/dartmouth.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/d/dartmouth.24.png
4,Cornell,COR,Big Red,88ff8c00-958e-4ccf-a21d-77fab9e93692,167,1165,Cornell,Cornell University,NCAA MEN,NCAAM,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,NCAA Division I,D1,c5a8d640-5093-4044-851d-2c562e929994,548bbd5b-32e3-42ef-9095-6861af657296,Ithaca,NY,Bartels Hall,14853,USA,Newman Arena,4473,https://www.ncaa.com/sites/default/files/images/logos/schools/c/cornell.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/c/cornell.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/c/cornell.24.png
5,Columbia,CLMB,Lions,ca74bd67-034c-4468-8487-6f983f5eb4f6,158,1162,Columbia,Columbia University-Barnard College,NCAA MEN,NCAAM,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,NCAA Division I,D1,c5a8d640-5093-4044-851d-2c562e929994,e30178c1-fbfc-47e0-92f7-37855cb3a81b,New York,NY,3030 Broadway,10027,USA,Francis S. Levien Gymnasium,2500,https://www.ncaa.com/sites/default/files/images/logos/schools/c/columbia.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/c/columbia.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/c/columbia.24.png
6,Brown,BRWN,Bears,558abf02-97f4-4323-aa99-63c076d35932,80,1135,Brown,Brown University,NCAA MEN,NCAAM,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,NCAA Division I,D1,c5a8d640-5093-4044-851d-2c562e929994,470d3da0-a31f-4777-bf3d-1dddec3b3c8d,Providence,RI,Hope St and Lloyd Ave,2906,USA,Paul Bailey Pizzitola Sports Center,2800,https://www.ncaa.com/sites/default/files/images/logos/schools/b/brown.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/b/brown.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/b/brown.24.png
7,Pennsylvania,PENN,Quakers,e6c94452-1adf-4fb9-90e5-10f165c57c5a,540,1335,Penn,University of Pennsylvania,NCAA MEN,NCAAM,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,NCAA Division I,D1,c5a8d640-5093-4044-851d-2c562e929994,bc28056a-d3aa-4b45-b19e-24608db3a675,Philadelphia,PA,215 S 33rd St,19104,USA,Palestra,8722,https://www.ncaa.com/sites/default/files/images/logos/schools/p/penn.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/p/penn.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/p/penn.24.png
8,Oklahoma State,OKST,Cowboys,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,521,1329,Oklahoma St.,Oklahoma State University,NCAA MEN,NCAAM,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,Big 12,BIG12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557,NCAA Division I,D1,c5a8d640-5093-4044-851d-2c562e929994,05b1ffbb-0b0c-4431-b454-e7d70462f5d1,Stillwater,OK,1046 West Hall of Fame Ave,74078,USA,Gallagher-Iba Arena,13611,https://www.ncaa.com/sites/default/files/images/logos/schools/o/oklahoma-st.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/o/oklahoma-st.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/o/oklahoma-st.24.png
9,Texas,TEX,Longhorns,6ed15092-2670-450a-99c2-61d861e87644,703,1400,Texas,University of Texas at Austin,NCAA MEN,NCAAM,cd4268ee-07aa-4c4d-a435-ec44ad2c76cb,Big 12,BIG12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557,NCAA Division I,D1,c5a8d640-5093-4044-851d-2c562e929994,3c6914ce-a224-4a6d-b742-3f18f7aeec64,Austin,TX,1701 Red River Street,78701,USA,Frank C. Erwin Jr. Center,16540,https://www.ncaa.com/sites/default/files/images/logos/schools/t/texas.200.png,https://www.ncaa.com/sites/default/files/images/logos/schools/t/texas.70.png,https://www.ncaa.com/sites/default/files/images/logos/schools/t/texas.24.png
