,season,round,win_seed,win_market,win_name,win_alias,win_school_ncaa,win_pts,lose_seed,lose_market,lose_name,lose_school_ncaa,lose_pts
0,2013,64,06,Butler,Bulldogs,BUT,Butler,68,11,Bucknell,Bison,Bucknell,56
1,2013,64,12,California,Golden Bears,CAL,California,64,05,UNLV,Rebels,UNLV,61
2,2013,64,07,Illinois,Fighting Illini,ILL,Illinois,57,10,Colorado,Buffaloes,Colorado,49
3,2013,64,01,Indiana,Hoosiers,IND,Indiana,83,16,James Madison,Dukes,James Madison,62
4,2013,32,01,Indiana,Hoosiers,IND,Indiana,58,09,Temple,Owls,Temple,52
5,2013,68,16,James Madison,Dukes,JMU,James Madison,68,16,LIU Brooklyn,Blackbirds,LIU Brooklyn,55
6,2013,32,02,Miami (FL),Hurricanes,MIA,Miami (FL),63,07,Illinois,Fighting Illini,Illinois,59
7,2013,64,02,Miami (FL),Hurricanes,MIA,Miami (FL),78,15,Pacific,Tigers,Pacific,49
8,2013,64,04,Syracuse,Orange,SYR,Syracuse,81,13,Montana,Grizzlies,Montana,34
9,2013,8,04,Syracuse,Orange,SYR,Syracuse,55,03,Marquette,Golden Eagles,Marquette,39
10,2013,16,04,Syracuse,Orange,SYR,Syracuse,61,01,Indiana,Hoosiers,Indiana,50
11,2013,32,04,Syracuse,Orange,SYR,Syracuse,66,12,California,Golden Bears,California,60
12,2013,64,09,Temple,Owls,TEM,Temple,76,08,North Carolina State,Wolfpack,NC State,72
13,2013,16,03,Marquette,Golden Eagles,MARQ,Marquette,71,02,Miami (FL),Hurricanes,Miami (FL),61
14,2013,64,03,Marquette,Golden Eagles,MARQ,Marquette,59,14,Davidson,Wildcats,Davidson,58
15,2013,32,03,Marquette,Golden Eagles,MARQ,Marquette,74,06,Butler,Bulldogs,Butler,72
16,2013,32,01,Kansas,Jayhawks,KU,Kansas,70,08,North Carolina,Tar Heels,North Carolina,58
17,2013,64,01,Kansas,Jayhawks,KU,Kansas,64,16,Western Kentucky,Hilltoppers,Western Ky.,57
