Season,Round,Seed,Market,Name,School,Points,Result
2013,64,6,Butler,Bulldogs,Butler,68,win
2013,64,12,California,Golden Bears,California,64,win
2013,64,7,Illinois,Fighting Illini,Illinois,57,win
2013,64,1,Indiana,Hoosiers,Indiana,83,win
2013,32,1,Indiana,Hoosiers,Indiana,58,win
2013,68,16,James Madison,Dukes,James Madison,68,win
2013,32,2,Miami (FL),Hurricanes,Miami (FL),63,win
2013,64,2,Miami (FL),Hurricanes,Miami (FL),78,win
2013,64,4,Syracuse,Orange,Syracuse,81,win
2013,8,4,Syracuse,Orange,Syracuse,55,win
2013,16,4,Syracuse,Orange,Syracuse,61,win
2013,32,4,Syracuse,Orange,Syracuse,66,win
2013,64,9,Temple,Owls,Temple,76,win
2013,16,3,Marquette,Golden Eagles,Marquette,71,win
2013,64,3,Marquette,Golden Eagles,Marquette,59,win
2013,32,3,Marquette,Golden Eagles,Marquette,74,win
2013,32,1,Kansas,Jayhawks,Kansas,70,win
2013,64,1,Kansas,Jayhawks,Kansas,64,win
2013,32,3,Florida,Gators,Florida,78,win
2013,16,3,Florida,Gators,Florida,62,win
2013,64,3,Florida,Gators,Florida,79,win
2013,64,8,North Carolina,Tar Heels,North Carolina,78,win
2013,64,5,Virginia Commonwealth,Rams,VCU,88,win
2013,32,15,Florida Gulf Coast,Eagles,FGCU,81,win
2013,64,15,Florida Gulf Coast,Eagles,FGCU,78,win
2013,32,4,Michigan,Wolverines,Michigan,78,win
2013,8,4,Michigan,Wolverines,Michigan,79,win
2013,4,4,Michigan,Wolverines,Michigan,61,win
2013,64,4,Michigan,Wolverines,Michigan,71,win
2013,16,4,Michigan,Wolverines,Michigan,87,win
2013,64,11,Minnesota,Golden Gophers,Minnesota,83,win
2013,64,7,San Diego State,Aztecs,San Diego St.,70,win
2013,64,8,Colorado State,Rams,Colorado St.,84,win
2013,8,1,Louisville,Cardinals,Louisville,85,win
2013,2,1,Louisville,Cardinals,Louisville,82,win
2013,32,1,Louisville,Cardinals,Louisville,82,win
2013,4,1,Louisville,Cardinals,Louisville,72,win
2013,16,1,Louisville,Cardinals,Louisville,77,win
2013,64,1,Louisville,Cardinals,Louisville,79,win
2013,64,6,Memphis,Tigers,Memphis,54,win
2013,32,3,Michigan State,Spartans,Michigan St.,70,win
2013,64,3,Michigan State,Spartans,Michigan St.,65,win
2013,32,12,Oregon,Ducks,Oregon,74,win
2013,64,12,Oregon,Ducks,Oregon,68,win
2013,64,4,Saint Louis,Billikens,Saint Louis,64,win
2013,68,11,Saint Mary's,Gaels,Saint Mary's (CA),67,win
2013,64,7,Creighton,Bluejays,Creighton,67,win
2013,16,2,Duke,Blue Devils,Duke,71,win
2013,32,2,Duke,Blue Devils,Duke,66,win
2013,64,2,Duke,Blue Devils,Duke,73,win
2013,68,16,North Carolina A&T,Aggies,N.C. A&T,73,win
2013,64,10,Iowa State,Cyclones,Iowa St.,76,win
2013,68,13,La Salle,Explorers,La Salle,80,win
2013,64,13,La Salle,Explorers,La Salle,63,win
2013,32,13,La Salle,Explorers,La Salle,76,win
2013,16,2,Ohio State,Buckeyes,Ohio St.,73,win
2013,32,2,Ohio State,Buckeyes,Ohio St.,78,win
2013,64,2,Ohio State,Buckeyes,Ohio St.,95,win
2013,64,6,Arizona,Wildcats,Arizona,81,win
2013,32,6,Arizona,Wildcats,Arizona,74,win
2013,64,1,Gonzaga,Bulldogs,Gonzaga,64,win
2013,64,14,Harvard,Crimson,Harvard,68,win
2013,64,12,Ole Miss,Rebels,Ole Miss,57,win
2013,64,9,Wichita State,Shockers,Wichita St.,73,win
2013,16,9,Wichita State,Shockers,Wichita St.,72,win
2013,32,9,Wichita State,Shockers,Wichita St.,76,win
2013,8,9,Wichita State,Shockers,Wichita St.,70,win
2013,64,11,Bucknell,Bison,Bucknell,56,lose
2013,64,5,UNLV,Rebels,UNLV,61,lose
2013,64,10,Colorado,Buffaloes,Colorado,49,lose
2013,64,16,James Madison,Dukes,James Madison,62,lose
2013,32,9,Temple,Owls,Temple,52,lose
2013,68,16,LIU Brooklyn,Blackbirds,LIU Brooklyn,55,lose
2013,32,7,Illinois,Fighting Illini,Illinois,59,lose
2013,64,15,Pacific,Tigers,Pacific,49,lose
2013,64,13,Montana,Grizzlies,Montana,34,lose
2013,8,3,Marquette,Golden Eagles,Marquette,39,lose
2013,16,1,Indiana,Hoosiers,Indiana,50,lose
2013,32,12,California,Golden Bears,California,60,lose
2013,64,8,North Carolina State,Wolfpack,NC State,72,lose
2013,16,2,Miami (FL),Hurricanes,Miami (FL),61,lose
2013,64,14,Davidson,Wildcats,Davidson,58,lose
2013,32,6,Butler,Bulldogs,Butler,72,lose
2013,32,8,North Carolina,Tar Heels,North Carolina,58,lose
2013,64,16,Western Kentucky,Hilltoppers,Western Ky.,57,lose
2013,32,11,Minnesota,Golden Gophers,Minnesota,64,lose
2013,16,15,Florida Gulf Coast,Eagles,FGCU,50,lose
2013,64,14,Northwestern State,Demons,Northwestern St.,47,lose
2013,64,9,Villanova,Wildcats,Villanova,71,lose
2013,64,12,Akron,Zips,Akron,42,lose
2013,32,7,San Diego State,Aztecs,San Diego St.,71,lose
2013,64,2,Georgetown,Hoyas,Georgetown,68,lose
2013,32,5,Virginia Commonwealth,Rams,VCU,53,lose
2013,8,3,Florida,Gators,Florida,59,lose
2013,4,4,Syracuse,Orange,Syracuse,56,lose
2013,64,13,South Dakota State,Jackrabbits,South Dakota St.,56,lose
2013,16,1,Kansas,Jayhawks,Kansas,85,lose
2013,64,6,UCLA,Bruins,UCLA,63,lose
2013,64,10,Oklahoma,Sooners,Oklahoma,55,lose
2013,64,9,Missouri,Tigers,Missouri,72,lose
2013,8,2,Duke,Blue Devils,Duke,63,lose
2013,2,4,Michigan,Wolverines,Michigan,76,lose
2013,32,8,Colorado State,Rams,Colorado St.,56,lose
2013,4,9,Wichita State,Shockers,Wichita St.,68,lose
2013,16,12,Oregon,Ducks,Oregon,69,lose
2013,64,16,North Carolina A&T,Aggies,N.C. A&T,48,lose
2013,64,11,Saint Mary's,Gaels,Saint Mary's (CA),52,lose
2013,32,6,Memphis,Tigers,Memphis,48,lose
2013,64,14,Valparaiso,Crusaders,Valparaiso,54,lose
2013,32,4,Saint Louis,Billikens,Saint Louis,57,lose
2013,64,5,Oklahoma State,Cowboys,Oklahoma St.,55,lose
2013,64,13,New Mexico State,Aggies,New Mexico St.,44,lose
2013,68,11,Middle Tennessee,Blue Raiders,Middle Tenn.,54,lose
2013,64,10,Cincinnati,Bearcats,Cincinnati,63,lose
2013,16,3,Michigan State,Spartans,Michigan St.,61,lose
2013,32,7,Creighton,Bluejays,Creighton,50,lose
2013,64,15,Albany,Great Danes,Albany (NY),61,lose
2013,68,16,Liberty,Flames,Liberty,72,lose
2013,64,7,Notre Dame,Fighting Irish,Notre Dame,58,lose
2013,68,13,Boise State,Broncos,Boise St.,71,lose
2013,64,4,Kansas State,Wildcats,Kansas St.,61,lose
2013,32,12,Ole Miss,Rebels,Ole Miss,74,lose
2013,16,6,Arizona,Wildcats,Arizona,70,lose
2013,32,10,Iowa State,Cyclones,Iowa St.,75,lose
2013,64,15,Iona,Gaels,Iona,70,lose
2013,64,11,Belmont,Bruins,Belmont,64,lose
2013,32,14,Harvard,Crimson,Harvard,51,lose
2013,64,16,Southern University,Jaguars,Southern U.,58,lose
2013,64,3,New Mexico,Lobos,New Mexico,62,lose
2013,64,5,Wisconsin,Badgers,Wisconsin,46,lose
2013,64,8,Pittsburgh,Panthers,Pittsburgh,55,lose
2013,16,13,La Salle,Explorers,La Salle,58,lose
2013,32,1,Gonzaga,Bulldogs,Gonzaga,70,lose
2013,8,2,Ohio State,Buckeyes,Ohio St.,66,lose
