,season,tournament_type,tournament_round,tournament_game_no,attendance,venue_city,venue_state,venue_address,venue_zip,venue_name,venue_capacity,name,market,conference_name,conference_alias,points,rank,field_goals_made,field_goals_attempted,field_goals_pct,three_points_made,three_points_attempted,three_points_pct,two_points_made,two_points_attempted,two_points_pct,blocked_attempted,free_throws_made,free_throws_attempted,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,h_blocks,h_assists_turnover_ratio,personal_fouls,ejections,foulouts,points,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,team_tech_fouls,coach_tech_fouls
0,2013,South Regional,Sweet 16,Game 2,14991,Memphis,TN,191 Beale St,38103,FedExForum,18119,Cardinal,Stanford,Pacific 12,PAC12,72,0,22,58,37.9,5,21,23.8,17,37,45.9,1,23,33,69.7,14,19,33,10,12,7,5,0.83,24,,,72,5,9,0,12,2,0,0,0,1
1,2013,West Regional,Second Round,Game 7,17749,Milwaukee,WI,1001 N Fourth St,53203,BMO Harris Bradley Center,18717,Ducks,Oregon,Pacific 12,PAC12,87,0,27,54,50,2,13,15.4,25,41,61,0,31,38,81.6,8,25,33,21,8,4,4,2.63,22,,,87,6,9,0,10,4,0,0,0,0
2,2013,South Regional,Second Round,Game 2,16074,Orlando,FL,400 W. Church St.,32801,Amway Center,18846,Buffaloes,Colorado,Pacific 12,PAC12,48,0,15,42,35.7,4,16,25,11,26,42.3,3,14,18,77.8,5,21,26,5,17,2,0,0.29,12,,,48,,8,0,4,3,0,0,0,0
3,2013,West Regional,Second Round,Game 1,11196,San Diego,CA,5500 Canyon Crest Drive,92182,Viejas Arena at Aztec Bowl,12414,Wildcats,Arizona,Pacific 12,PAC12,68,0,26,47,55.3,7,14,50,19,33,57.6,3,9,16,56.3,5,23,28,15,12,4,12,1.25,20,,,68,10,11,0,14,3,0,0,0,0
4,2013,South Regional,Second Round,Game 4,11488,San Diego,CA,5500 Canyon Crest Drive,92182,Viejas Arena at Aztec Bowl,12414,Bruins,UCLA,Pacific 12,PAC12,76,0,29,63,46,5,16,31.3,24,47,51.1,2,13,15,86.7,12,22,34,17,10,11,5,1.7,13,,,76,14,15,0,21,2,0,0,0,0
5,2013,West Regional,Third Round,Game 1,11504,San Diego,CA,5500 Canyon Crest Drive,92182,Viejas Arena at Aztec Bowl,12414,Wildcats,Arizona,Pacific 12,PAC12,84,0,32,65,49.2,7,18,38.9,25,47,53.2,5,13,18,72.2,6,20,26,24,6,15,8,4,18,,,84,26,6,0,31,2,0,0,0,0
6,2013,South Regional,Third Round,Game 2,11504,San Diego,CA,5500 Canyon Crest Drive,92182,Viejas Arena at Aztec Bowl,12414,Bruins,UCLA,Pacific 12,PAC12,77,0,29,53,54.7,4,14,28.6,25,39,64.1,1,15,23,65.2,4,24,28,22,3,3,3,7.33,17,,,77,12,6,0,11,2,0,0,0,0
7,2013,West Regional,Elite 8,Game 1,17814,Anaheim,CA,2695 East Katella Avenue,92806,Honda Center,18336,Wildcats,Arizona,Pacific 12,PAC12,63,0,23,59,39,5,12,41.7,18,47,0.383,0,12,17,70.6,13,25,38,8,7,2,5,1.14,17,,,63,,14,0,5,1,0,0,0,0
8,2013,West Regional,Sweet 16,Game 1,17773,Anaheim,CA,2695 East Katella Avenue,92806,Honda Center,18336,Wildcats,Arizona,Pacific 12,PAC12,70,0,23,48,47.9,5,12,41.7,18,36,50,2,19,25,76,8,19,27,14,7,2,4,2,16,,,70,,6,0,17,2,0,0,0,0
9,2013,South Regional,Third Round,Game 4,19676,St. Louis,MO,1401 Clark Ave,63103,Scottrade Center,21000,Jayhawks,Kansas,Big 12,BIG12,57,0,19,58,32.8,5,16,31.3,14,42,33.3,4,14,18,77.8,10,20,30,7,14,9,2,0.5,22,,,57,5,13,0,11,5,0,0,0,0
10,2013,South Regional,Second Round,Game 8,17955,St. Louis,MO,1401 Clark Ave,63103,Scottrade Center,21000,Jayhawks,Kansas,Big 12,BIG12,80,0,32,53,60.4,0,7,0,32,46,69.6,1,16,24,66.7,14,28,42,17,14,2,7,1.21,14,,,80,4,17,0,9,1,0,0,0,0
11,2013,Midwest Regional,Second Round,Game 7,17331,Milwaukee,WI,1001 N Fourth St,53203,BMO Harris Bradley Center,18717,Longhorns,Texas,Big 12,BIG12,87,0,31,58,53.4,5,12,41.7,26,46,56.5,1,20,27,74.1,10,20,30,17,9,6,5,1.89,24,,,87,18,15,0,13,0,0,0,0,0
12,2013,West Regional,Second Round,Game 3,10962,Spokane,WA,720 W. Mallon Avenue,99201,Spokane Veterans Memorial Arena,12210,Sooners,Oklahoma,Big 12,BIG12,75,0,25,72,34.7,12,30,40,13,42,31,6,13,18,72.2,15,18,33,14,10,5,3,1.4,16,,,75,2,18,0,13,4,0,0,0,0
13,2013,East Regional,Second Round,Game 6,11690,San Antonio,TX,1 AT&T Center Parkway,78219,AT&T Center,18418,Cyclones,Iowa State,Big 12,BIG12,93,0,35,55,63.6,9,17,52.9,26,38,68.4,5,14,16,87.5,8,23,31,21,9,5,5,2.33,14,,,93,6,14,0,8,3,0,0,0,0
