,season,scheduled_date,tournament_type,tournament_round,tournament_game_no,attendance,lead_changes,times_tied,periods,venue_city,venue_state,venue_address,venue_zip,venue_country,venue_name,venue_capacity,name,market,alias,conf_name,conf_alias,points,seed,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,foulouts,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,team_tech_fouls,coach_tech_fouls
0,2017,3/14/18,First Four,Game 2,,12336,7,9,2,Dayton,OH,1801 South Edwin C Moses Boulevard,45417,USA,University of Dayton Arena,13435,Bruins,UCLA,UCLA,Pacific 12,PAC12,58,0,21,50,42,10,30,33.3,11,20,55,0,6,10,60,5,32,37,13,20,1,6,0.65,18,0,1,9,9,0,3,4,0,0,0,0
1,2017,3/14/18,First Four,Game 3,,12732,1,2,2,Dayton,OH,1801 South Edwin C Moses Boulevard,45417,USA,University of Dayton Arena,13435,Eagles,North Carolina Central,NCCU,Mid Eastern Athletic,MEAC,46,0,21,69,30.4,0,14,0,21,55,38.2,8,4,6,66.7,17,22,39,10,15,5,2,0.67,18,0,0,10,15,0,13,4,0,0,0,0
2,2017,3/15/18,First Four,Game 4,,12732,8,5,2,Dayton,OH,1801 South Edwin C Moses Boulevard,45417,USA,University of Dayton Arena,13435,Sun Devils,Arizona State,ASU,Pacific 12,PAC12,56,0,21,52,40.4,11,32,34.4,10,20,50,2,3,10,30,8,24,32,19,9,5,3,2.11,19,0,0,2,5,2,4,2,0,0,0,0
3,2017,3/13/18,First Four,Game 1,,12336,4,1,2,Dayton,OH,1801 South Edwin C Moses Boulevard,45417,USA,University of Dayton Arena,13435,Highlanders,Radford,RAD,Big South,BIGSOUTH,71,0,28,59,47.5,6,17,35.3,22,42,52.4,0,9,13,69.2,8,27,35,17,13,6,2,1.31,23,0,1,13,6,2,11,3,0,0,0,0
4,2017,3/15/18,West Regional,First Round,Game 4,11662,3,8,2,Boise,ID,1910 University Dr,83725,USA,Taco Bell Arena,12480,Bulldogs,Gonzaga,GONZ,West Coast,WCC,68,8,25,59,42.4,5,23,21.7,20,36,55.6,1,13,25,52,7,26,33,7,10,5,2,0.7,14,0,0,4,4,0,11,4,0,0,0,0
5,2017,3/15/18,South Regional,First Round,Game 5,15802,3,7,2,Dallas,TX,2500 Victory Ave.,75219,USA,American Airlines Center,19200,Hurricanes,Miami (FL),MIA,Atlantic Coast,ACC,62,22,25,49,51,4,9,44.4,21,40,52.5,3,8,13,61.5,8,22,30,11,15,7,7,0.73,13,0,1,2,13,1,8,3,0,0,0,0
6,2017,3/15/18,South Regional,First Round,Game 6,15802,3,0,2,Dallas,TX,2500 Victory Ave.,75219,USA,American Airlines Center,19200,Volunteers,Tennessee,TENN,Southeastern,SEC,73,13,27,60,45,5,18,27.8,22,42,52.4,2,14,16,87.5,13,30,43,13,12,6,6,1.08,17,0,0,2,16,0,15,1,0,0,0,0
7,2017,3/15/18,Midwest Regional,First Round,Game 1,14390,5,1,2,Wichita,KS,500 East Waterman Street,67202,USA,Intrust Bank Arena,15000,Jayhawks,Kansas,KU,Big 12,BIG12,76,4,27,61,44.3,7,17,41.2,20,44,45.5,2,15,17,88.2,6,32,38,11,8,8,6,1.38,14,0,0,6,14,0,15,3,0,0,0,0
8,2017,3/15/18,Midwest Regional,First Round,Game 8,18757,0,2,2,Pittsburgh,PA,1001 Fifth Avenue,15219,USA,PPG Paints Arena,19758,Blue Devils,Duke,DUKE,Atlantic Coast,ACC,89,9,36,67,53.7,13,30,43.3,23,37,62.2,2,4,8,50,13,24,37,24,12,5,2,2,12,0,0,20,15,0,9,2,0,0,0,0
9,2017,3/15/18,Midwest Regional,First Round,Game 7,18757,16,7,3,Pittsburgh,PA,1001 Fifth Avenue,15219,USA,PPG Paints Arena,19758,Rams,Rhode Island,URI,Atlantic 10,A10,83,0,30,77,39,11,28,39.3,19,49,38.8,5,12,20,60,13,24,37,16,6,4,5,2.67,17,0,0,9,11,0,17,4,0,0,0,0
10,2017,3/15/18,East Regional,First Round,Game 1,18715,1,1,2,Pittsburgh,PA,1001 Fifth Avenue,15219,USA,PPG Paints Arena,19758,Wildcats,Villanova,VILL,Big East,BIGEAST,87,2,31,52,59.6,14,27,51.9,17,25,68,3,11,14,78.6,6,25,31,20,13,7,5,1.54,16,0,0,13,14,0,23,3,0,0,0,0
11,2017,3/16/18,East Regional,First Round,Game 2,18715,10,10,2,Pittsburgh,PA,1001 Fifth Avenue,15219,USA,PPG Paints Arena,19758,Hokies,Virginia Tech,VT,Atlantic Coast,ACC,83,0,30,54,55.6,9,18,50,21,36,58.3,3,14,20,70,8,11,19,14,13,7,1,1.08,22,0,3,8,9,1,21,3,0,0,0,1
12,2017,3/15/18,East Regional,First Round,Game 6,18703,5,5,2,Dallas,TX,2500 Victory Ave.,75219,USA,American Airlines Center,19200,Red Raiders,Texas Tech,TTU,Big 12,BIG12,70,14,25,54,46.3,4,16,25,21,38,55.3,3,16,24,66.7,9,31,40,14,13,5,6,1.08,21,0,0,8,9,0,17,1,0,0,0,0
13,2017,3/16/18,East Regional,First Round,Game 5,18703,4,4,2,Dallas,TX,2500 Victory Ave.,75219,USA,American Airlines Center,19200,Gators,Florida,FLA,Southeastern,SEC,77,23,27,65,41.5,10,32,31.3,17,33,51.5,3,13,18,72.2,9,24,33,19,9,11,4,2.11,21,0,0,24,11,0,25,2,0,0,0,0
14,2017,3/16/18,South Regional,First Round,Game 4,11673,16,4,2,Boise,ID,1910 University Dr,83725,USA,Taco Bell Arena,12480,Wildcats,Arizona,ARIZ,Pacific 12,PAC12,68,12,29,64,45.3,2,18,11.1,27,46,58.7,2,8,11,72.7,11,19,30,13,9,4,3,1.44,11,0,0,8,16,0,10,1,0,0,0,0
15,2017,3/15/18,South Regional,First Round,Game 3,11673,4,5,2,Boise,ID,1910 University Dr,83725,USA,Taco Bell Arena,12480,Wildcats,Kentucky,UK,Southeastern,SEC,78,18,26,51,51,0,6,0,26,45,57.8,2,26,32,81.3,5,29,34,11,10,6,3,1.1,19,0,1,10,5,0,10,4,0,0,0,0
16,2017,3/15/18,West Regional,First Round,Game 3,11662,7,4,2,Boise,ID,1910 University Dr,83725,USA,Taco Bell Arena,12480,Buckeyes,Ohio State,OSU,Big Ten,BIG10,81,17,27,72,37.5,12,40,30,15,32,46.9,2,15,19,78.9,14,30,44,15,9,10,2,1.67,15,0,1,18,19,0,18,3,0,0,0,0
17,2017,3/15/18,West Regional,First Round,Game 5,14019,7,3,2,Wichita,KS,500 East Waterman Street,67202,USA,Intrust Bank Arena,15000,Cougars,Houston,HOU,American Athletic,AAC,67,21,22,59,37.3,5,13,38.5,17,46,37,5,18,24,75,5,31,36,5,7,3,1,0.71,25,0,2,6,4,0,15,3,0,0,0,0
18,2017,3/16/18,West Regional,First Round,Game 6,14019,1,2,2,Wichita,KS,500 East Waterman Street,67202,USA,Intrust Bank Arena,15000,Wolverines,Michigan,MICH,Big Ten,BIG10,61,7,21,47,44.7,5,16,31.3,16,31,51.6,2,14,22,63.6,5,30,35,11,13,4,3,0.85,14,0,0,0,5,1,13,1,0,0,0,0
19,2017,3/15/18,Midwest Regional,First Round,Game 2,14390,0,0,2,Wichita,KS,500 East Waterman Street,67202,USA,Intrust Bank Arena,15000,Pirates,Seton Hall,HALL,Big East,BIGEAST,94,0,28,58,48.3,7,21,33.3,21,37,56.8,0,31,39,79.5,10,28,38,12,7,6,2,1.71,23,0,2,10,13,0,14,2,0,0,0,0
20,2017,3/17/18,West Regional,First Round,Game 2,17549,1,1,2,Nashville,TN,501 Broadway,37203,USA,Bridgestone Arena,19395,Tigers,Missouri,MIZZ,Southeastern,SEC,54,0,16,49,32.7,8,24,33.3,8,25,32,6,14,21,66.7,5,28,33,8,15,5,4,0.53,21,0,1,2,3,1,8,3,0,0,0,0
21,2017,3/16/18,West Regional,First Round,Game 1,17549,4,2,2,Nashville,TN,501 Broadway,37203,USA,Bridgestone Arena,19395,Musketeers,Xavier,XAV,Big East,BIGEAST,102,3,35,64,54.7,11,24,45.8,24,40,60,3,21,32,65.6,8,28,36,19,13,6,10,1.46,22,0,1,22,15,0,17,6,0,0,0,0
22,2017,3/16/18,South Regional,First Round,Game 8,17552,5,0,2,Nashville,TN,501 Broadway,37203,USA,Bridgestone Arena,19395,Bearcats,Cincinnati,CIN,American Athletic,AAC,68,6,24,62,38.7,9,30,30,15,32,46.9,5,11,14,78.6,18,26,44,14,6,7,3,2.33,10,0,0,7,24,2,8,2,0,0,0,0
23,2017,3/17/18,South Regional,First Round,Game 1,17943,3,5,2,Charlotte,NC,330 E. Trade St.,28202,USA,Spectrum Center,19077,Cavaliers,Virginia,UVA,Atlantic Coast,ACC,54,1,23,56,41.1,4,22,18.2,19,34,55.9,0,4,8,50,5,16,21,5,7,8,1,0.71,16,0,1,4,9,0,9,1,0,0,0,0
